"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.754698667E0,2.315898895E0,-4.543523026E1,7.590919495E0,4.612315682E1
1.764687667E0,2.391721725E0,-4.531880951E1,7.752044678E0,4.603921182E1
1.774675667E0,2.395202637E0,-4.536113739E1,8.107612610E0,4.614220588E1
1.784664667E0,2.567377090E0,-4.525561905E1,8.035362244E0,4.603509017E1
1.794653667E0,2.382678986E0,-4.539950943E1,8.049064636E0,4.616903786E1
1.804642667E0,2.469837189E0,-4.528578568E1,8.169982910E0,4.608308910E1
1.814631667E0,2.392568588E0,-4.528545380E1,8.122703552E0,4.607032693E1
1.824620667E0,2.491405487E0,-4.514906311E1,8.200111389E0,4.595526986E1
1.834609667E0,2.713546753E0,-4.508843613E1,8.274543762E0,4.592165592E1
1.844598667E0,2.863159180E0,-4.513106537E1,8.404670715E0,4.599618714E1
1.854587667E0,3.085886002E0,-4.535847473E1,8.334503174E0,4.622096781E1
1.864575667E0,3.460953712E0,-4.535553741E1,8.460800171E0,4.626757087E1
1.874564667E0,3.492053986E0,-4.543129730E1,8.401382446E0,4.633336209E1
1.884553667E0,3.849114418E0,-4.533680725E1,8.557914734E0,4.629772865E1
1.894542667E0,3.957243919E0,-4.543574524E1,8.522735596E0,4.639723857E1
1.904531667E0,4.103825569E0,-4.514305115E1,8.446289062E0,4.610939438E1
1.914520667E0,4.121223450E0,-4.500090027E1,8.471984863E0,4.597651613E1
1.924509667E0,4.263181686E0,-4.499095917E1,8.496505737E0,4.598425529E1
1.934498667E0,4.280890465E0,-4.504904175E1,8.501037598E0,4.604356443E1
1.944487667E0,4.439463615E0,-4.498179626E1,8.374992371E0,4.596967837E1
1.954475667E0,4.538389206E0,-4.509297180E1,8.386871338E0,4.609026680E1
1.964464667E0,4.727492332E0,-4.486675262E1,8.463348389E0,4.590210170E1
1.974453667E0,4.839667320E0,-4.488241959E1,8.501312256E0,4.593611083E1
1.984442667E0,5.033761024E0,-4.489416885E1,8.211860657E0,4.591579034E1
1.994431667E0,5.094132423E0,-4.498400116E1,8.094329834E0,4.598944141E1
2.004420667E0,5.387184143E0,-4.513685989E1,8.181739807E0,4.618764705E1
2.014409667E0,5.240567207E0,-4.497687149E1,8.233871460E0,4.602368035E1
2.024398667E0,5.365897179E0,-4.486329651E1,8.074668884E0,4.589889436E1
2.034387667E0,5.702455521E0,-4.500931549E1,8.123023987E0,4.609056301E1
2.044376667E0,5.598917007E0,-4.487054443E1,7.955398560E0,4.591298287E1
2.054364667E0,5.527804375E0,-4.475916672E1,8.232986450E0,4.584453830E1
2.064353667E0,5.585080147E0,-4.470598221E1,8.115394592E0,4.577857135E1
2.074342667E0,5.765001297E0,-4.482486343E1,8.215927124E0,4.593479161E1
2.084331667E0,5.925651550E0,-4.486226654E1,8.276557922E0,4.600258380E1
2.094320667E0,5.920637131E0,-4.480326843E1,8.227050781E0,4.593551100E1
2.104309667E0,5.843201637E0,-4.483711624E1,8.251823425E0,4.596305677E1
2.114298667E0,5.969489098E0,-4.477132034E1,8.353721619E0,4.593354537E1
2.124287667E0,5.985565186E0,-4.472462845E1,8.427581787E0,4.590363292E1
2.134276667E0,5.939850807E0,-4.472734070E1,8.258705139E0,4.586963096E1
2.144264667E0,5.886068344E0,-4.453565216E1,8.377883911E0,4.569747316E1
2.154253667E0,6.081101418E0,-4.485205460E1,8.319053650E0,4.602057420E1
2.164242667E0,6.230542183E0,-4.473696136E1,8.263465881E0,4.591840847E1
2.174231667E0,6.273434639E0,-4.467113113E1,8.352783203E0,4.587630027E1
2.184220667E0,6.266244888E0,-4.466981506E1,8.308876038E0,4.586606179E1
2.194209667E0,6.267189026E0,-4.478473663E1,8.278778076E0,4.597269255E1
2.204198667E0,6.197387695E0,-4.472658920E1,8.186225891E0,4.588997374E1
2.214187667E0,6.268124580E0,-4.457514191E1,8.268775940E0,4.576685829E1
2.224176667E0,6.195241928E0,-4.457854080E1,8.332939148E0,4.577188217E1
2.234165667E0,6.299399376E0,-4.465478516E1,8.713241577E0,4.593095741E1
2.244153667E0,6.380919456E0,-4.460773849E1,8.681373596E0,4.589044252E1
2.254142667E0,6.424287796E0,-4.453791809E1,8.429542542E0,4.578159902E1
2.264131667E0,6.586474419E0,-4.467631531E1,8.339439392E0,4.592277261E1
2.274120667E0,6.364341736E0,-4.469089508E1,8.563041687E0,4.594678043E1
2.284109667E0,6.342993736E0,-4.463605499E1,8.623054504E0,4.590172158E1
2.294098667E0,6.484251022E0,-4.460015106E1,8.596496582E0,4.588157298E1
2.304087667E0,6.316658020E0,-4.463267136E1,8.521217346E0,4.587577428E1
2.314076667E0,6.321814537E0,-4.474647903E1,8.615844727E0,4.600484219E1
2.324065667E0,6.451392174E0,-4.478879166E1,8.741973877E0,4.608772533E1
2.334054667E0,6.438974380E0,-4.476319504E1,8.733528137E0,4.605951080E1
2.344042667E0,6.323573112E0,-4.472035980E1,8.472251892E0,4.595298913E1
2.354031667E0,6.410259247E0,-4.456654358E1,8.719467163E0,4.586171974E1
2.364020667E0,6.410259247E0,-4.456654358E1,8.719467163E0,4.586171974E1
2.374009667E0,6.390557289E0,-4.435995483E1,8.800537109E0,4.567378098E1
2.383998667E0,6.452945709E0,-4.431481171E1,8.894096375E0,4.565685047E1
2.393987667E0,6.413545609E0,-4.442636108E1,8.849899292E0,4.575102014E1
2.403976667E0,6.505532265E0,-4.445385361E1,8.942016602E0,4.580858775E1
2.413965667E0,6.530489922E0,-4.459000778E1,8.942611694E0,4.594438373E1
2.423954667E0,6.414514542E0,-4.440626526E1,8.846199036E0,4.573092639E1
2.433942667E0,6.299790382E0,-4.446781540E1,8.969078064E0,4.579867167E1
2.443931667E0,6.241005898E0,-4.425169754E1,9.197814941E0,4.562633767E1
2.453920667E0,6.273778915E0,-4.438203812E1,9.071327209E0,4.573198647E1
2.463909667E0,6.255620003E0,-4.433092117E1,8.999992371E0,4.566577730E1
2.473898667E0,6.287533760E0,-4.449634552E1,8.857879639E0,4.580305533E1
2.483887667E0,6.341633797E0,-4.443598938E1,8.959129333E0,4.577160113E1
2.493876667E0,6.236453056E0,-4.452549362E1,9.064308167E0,4.586474258E1
2.503865667E0,6.501096725E0,-4.446583557E1,9.118583679E0,4.585437122E1
2.513854667E0,6.304347038E0,-4.461937332E1,9.041023254E0,4.596056319E1
2.523843667E0,6.279940605E0,-4.446777344E1,8.972763062E0,4.579662657E1
2.533831167E0,6.168025970E0,-4.457417679E1,8.984870911E0,4.588714075E1
2.543820167E0,6.100904465E0,-4.453780746E1,8.956214905E0,4.583722411E1
2.553809167E0,6.057491302E0,-4.453077316E1,8.989936829E0,4.583123306E1
2.563798167E0,6.000402451E0,-4.435886383E1,8.882369995E0,4.563562344E1
2.573787167E0,5.952890396E0,-4.441547394E1,8.723175049E0,4.565375135E1
2.583776167E0,5.957314491E0,-4.438448334E1,8.617774963E0,4.560414457E1
2.593765167E0,6.021394730E0,-4.452576828E1,8.498695374E0,4.572777120E1
2.603754167E0,5.857553482E0,-4.454128647E1,8.645668030E0,4.574914981E1
2.613743167E0,5.803816795E0,-4.450947571E1,8.583930969E0,4.569968915E1
2.623732167E0,5.919023514E0,-4.455351639E1,8.451927185E0,4.573276435E1
2.633720167E0,5.927480698E0,-4.452507019E1,8.565483093E0,4.572728292E1
2.643709167E0,5.919357300E0,-4.445824432E1,8.486839294E0,4.564647544E1
2.653698167E0,5.829947472E0,-4.473167419E1,8.502632141E0,4.590431044E1
2.663687167E0,5.819346428E0,-4.452845001E1,8.469871521E0,4.569886625E1
2.673676167E0,5.731883049E0,-4.480258942E1,8.627838135E0,4.598441141E1
2.683665167E0,5.807657242E0,-4.478250885E1,8.490051270E0,4.594869913E1
2.693654167E0,5.711264610E0,-4.488457870E1,8.517410278E0,4.604117969E1
2.703643167E0,5.792160988E0,-4.462107849E1,8.508041382E0,4.579275644E1
2.713632167E0,5.820315361E0,-4.475199509E1,8.439285278E0,4.591120420E1
2.723621167E0,5.721646309E0,-4.462946701E1,8.585716248E0,4.580656160E1
2.733609167E0,5.651756287E0,-4.484386063E1,8.610237122E0,4.601141563E1
2.743598167E0,5.576269150E0,-4.479976654E1,8.656730652E0,4.596795455E1
2.753587167E0,5.500194550E0,-4.481635284E1,8.832595825E0,4.600839457E1
2.763576167E0,5.341819763E0,-4.485200882E1,8.629074097E0,4.598585275E1
2.773565167E0,5.362666130E0,-4.492979431E1,8.602348328E0,4.605914678E1
2.783554167E0,5.245401382E0,-4.485507584E1,8.616241455E0,4.597533774E1
2.793543167E0,5.176178932E0,-4.505241394E1,8.663787842E0,4.616897281E1
2.803532167E0,4.915387154E0,-4.494974899E1,8.636352539E0,4.603506870E1
2.813521167E0,4.864578247E0,-4.504700089E1,8.628738403E0,4.612322123E1
2.823510167E0,4.677633286E0,-4.498269272E1,8.658546448E0,4.604664292E1
2.833498167E0,4.636139870E0,-4.500031281E1,8.773216248E0,4.608135489E1
2.843487167E0,4.388709068E0,-4.507242966E1,8.788032532E0,4.613040427E1
2.853476167E0,4.156353951E0,-4.514264679E1,8.747833252E0,4.616988655E1
2.863465167E0,4.092682838E0,-4.498485184E1,8.700561523E0,4.600094258E1
2.873454167E0,3.853480339E0,-4.510874939E1,8.759948730E0,4.611274535E1
2.883443167E0,3.944065094E0,-4.522933197E1,8.671745300E0,4.622171877E1
2.893432167E0,3.673313141E0,-4.529843903E1,8.540161133E0,4.624257951E1
2.903421167E0,3.557033539E0,-4.526516342E1,8.666748047E0,4.622445272E1
2.913410167E0,3.399376869E0,-4.540078735E1,8.630271912E0,4.633863236E1
2.923399167E0,3.343960762E0,-4.541571045E1,8.791755676E0,4.637956228E1
2.933387167E0,3.301947594E0,-4.551111984E1,8.782791138E0,4.646829357E1
2.943376167E0,3.123324394E0,-4.525222015E1,8.709259033E0,4.618841605E1
2.953365167E0,2.971481323E0,-4.532842255E1,8.781509399E0,4.626673210E1
2.963354167E0,2.982429504E0,-4.542516708E1,8.729553223E0,4.635240867E1
2.973343167E0,2.911159515E0,-4.533628464E1,8.585914612E0,4.623387810E1
2.983332167E0,2.821836472E0,-4.536711502E1,8.656921387E0,4.627180755E1
2.993321167E0,2.824970245E0,-4.541104126E1,8.617858887E0,4.630778139E1
3.003310167E0,2.619091034E0,-4.533871460E1,8.641082764E0,4.622907084E1
3.013299167E0,2.515796661E0,-4.532217789E1,8.753890991E0,4.622834248E1
3.023288167E0,2.335659027E0,-4.525042725E1,8.710830688E0,4.614038405E1
3.033276167E0,2.259696960E0,-4.542079544E1,8.953376770E0,4.634994978E1
3.043265167E0,2.142169952E0,-4.539505386E1,8.843200684E0,4.629796978E1
3.053254167E0,1.925289154E0,-4.549681091E1,8.720016479E0,4.636491377E1
3.063243167E0,1.965440750E0,-4.553760529E1,8.853767395E0,4.643194643E1
3.073232167E0,1.700180054E0,-4.549643707E1,8.890106201E0,4.638804142E1
3.083221167E0,1.608398438E0,-4.559885788E1,8.821899414E0,4.647223574E1
3.093210167E0,1.702800751E0,-4.566762161E1,8.780891418E0,4.653531184E1
3.103199167E0,1.417230606E0,-4.551438141E1,8.891723633E0,4.639644606E1
3.113188167E0,1.523698807E0,-4.547930527E1,9.117927551E0,4.640932523E1
3.123177167E0,1.272258759E0,-4.539893723E1,9.114540100E0,4.632231627E1
3.133166167E0,1.202163696E0,-4.536988831E1,9.008499146E0,4.627121156E1
3.143154167E0,9.887084961E-1,-4.539472198E1,9.107574463E0,4.630989356E1
3.153143167E0,8.199214935E-1,-4.544115448E1,9.050201416E0,4.634087761E1
3.163132167E0,8.800277710E-1,-4.557469177E1,9.033508301E0,4.646968099E1
3.173121167E0,6.677341461E-1,-4.534806061E1,9.003601074E0,4.623805037E1
3.183110167E0,4.798145294E-1,-4.542295074E1,9.080375671E0,4.632416107E1
3.193099167E0,4.798145294E-1,-4.542295074E1,9.080375671E0,4.632416107E1
3.203088167E0,4.124794006E-1,-4.533425140E1,9.210983276E0,4.626236810E1
3.213077167E0,1.678009033E-1,-4.538695526E1,9.338996887E0,4.633811312E1
3.223066167E0,8.374404907E-2,-4.522844696E1,9.499214172E0,4.621530588E1
3.233055167E0,-2.821731567E-2,-4.526799774E1,9.781517029E0,4.631274653E1
3.243043167E0,-1.828880310E-1,-4.523126984E1,9.822166443E0,4.628580963E1
3.253032167E0,-3.710594177E-1,-4.530909729E1,9.801475525E0,4.635861198E1
3.263021167E0,-5.088920593E-1,-4.524737930E1,9.938331604E0,4.632876795E1
3.273010167E0,-6.642684937E-1,-4.521121216E1,1.000095367E1,4.630889798E1
3.282999167E0,-8.852729797E-1,-4.519691086E1,9.970207214E0,4.629200245E1
3.292988167E0,-1.202713013E0,-4.519648743E1,1.014825439E1,4.633741535E1
