"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.983914583E0,2.424837494E1,-3.066072464E1,-1.683044434E1,4.255969430E1
1.993902583E0,2.447738457E1,-3.084329224E1,-1.665437317E1,4.275300196E1
2.003890583E0,2.424123764E1,-3.081590271E1,-1.663287354E1,4.259002165E1
2.013879583E0,2.427788162E1,-3.077008820E1,-1.670352936E1,4.260541933E1
2.023867583E0,2.427967834E1,-3.080318069E1,-1.659664917E1,4.258858398E1
2.033855583E0,2.416321182E1,-3.096232224E1,-1.661219788E1,4.264377237E1
2.043843583E0,2.408687210E1,-3.082742691E1,-1.672437286E1,4.254658982E1
2.053831583E0,2.386327362E1,-3.092898560E1,-1.693687439E1,4.257834769E1
2.063819583E0,2.397931290E1,-3.092239380E1,-1.675469208E1,4.256667231E1
2.073807583E0,2.376440430E1,-3.100894547E1,-1.695252228E1,4.258743503E1
2.083795583E0,2.366245651E1,-3.109290695E1,-1.702400970E1,4.262038969E1
2.093783583E0,2.353476143E1,-3.125267792E1,-1.702545166E1,4.266709361E1
2.103771333E0,2.338065720E1,-3.122732544E1,-1.695056152E1,4.253378094E1
2.113759333E0,2.329619980E1,-3.144573212E1,-1.691707611E1,4.263489718E1
2.123748333E0,2.321392632E1,-3.140959549E1,-1.688605499E1,4.255100371E1
2.133736333E0,2.320703697E1,-3.163359070E1,-1.682202911E1,4.268760112E1
2.143724333E0,2.310090446E1,-3.139941025E1,-1.686257935E1,4.247259508E1
2.153712333E0,2.293235970E1,-3.151353836E1,-1.712834930E1,4.257201629E1
2.163700333E0,2.301291084E1,-3.160712433E1,-1.703761292E1,4.264838365E1
2.173688333E0,2.291505241E1,-3.168983078E1,-1.711432648E1,4.268776374E1
2.183676333E0,2.278150177E1,-3.157310104E1,-1.731555176E1,4.261086558E1
2.193664333E0,2.273053360E1,-3.164731216E1,-1.736093140E1,4.265713849E1
2.203652333E0,2.280005836E1,-3.157560349E1,-1.754022980E1,4.271441277E1
2.213640333E0,2.265589905E1,-3.161585617E1,-1.748484039E1,4.264471558E1
2.223628333E0,2.259537506E1,-3.154267120E1,-1.754928589E1,4.258483904E1
2.233616333E0,2.257793045E1,-3.162698364E1,-1.756050110E1,4.264270438E1
2.243605333E0,2.260972977E1,-3.137301636E1,-1.740698242E1,4.240836088E1
2.253593333E0,2.271795273E1,-3.148022461E1,-1.735596466E1,4.252457439E1
2.263581333E0,2.269845200E1,-3.142520142E1,-1.749769592E1,4.253154558E1
2.273569333E0,2.295565033E1,-3.166746140E1,-1.725772095E1,4.275065994E1
2.283557333E0,2.294883728E1,-3.145645142E1,-1.714185333E1,4.254410187E1
2.293545333E0,2.308553123E1,-3.157546997E1,-1.707632446E1,4.267965456E1
2.303533333E0,2.319475746E1,-3.150234604E1,-1.704987335E1,4.267426345E1
2.313521333E0,2.330155563E1,-3.164239120E1,-1.698029327E1,4.280810409E1
2.323509333E0,2.337999344E1,-3.156551361E1,-1.656074524E1,4.262937984E1
2.333497333E0,2.338583565E1,-3.159637070E1,-1.643096161E1,4.260521622E1
2.343485333E0,2.342246246E1,-3.170458603E1,-1.638854980E1,4.268930882E1
2.353474333E0,2.361546707E1,-3.197285080E1,-1.616133118E1,4.290853177E1
2.363462333E0,2.354778862E1,-3.196764755E1,-1.621609497E1,4.288811694E1
2.373450333E0,2.368435287E1,-3.196643066E1,-1.618770599E1,4.295163659E1
2.383438333E0,2.361628723E1,-3.199509811E1,-1.628372192E1,4.297179221E1
2.393426333E0,2.362728500E1,-3.213080978E1,-1.647380829E1,4.315117488E1
2.403414333E0,2.343983078E1,-3.199557877E1,-1.626605225E1,4.286872034E1
2.413402333E0,2.333223915E1,-3.210900497E1,-1.649854279E1,4.298352589E1
2.423390333E0,2.317829895E1,-3.198051834E1,-1.645112610E1,4.278582295E1
2.433378333E0,2.305250740E1,-3.214093018E1,-1.643353271E1,4.283127931E1
2.443366333E0,2.301184845E1,-3.207027435E1,-1.622758484E1,4.267765429E1
2.453354333E0,2.315394402E1,-3.228981018E1,-1.641505432E1,4.299059168E1
2.463343333E0,2.290710068E1,-3.222304535E1,-1.642156219E1,4.281036811E1
2.473331333E0,2.289874077E1,-3.233173370E1,-1.626474762E1,4.282797390E1
2.483319333E0,2.273330879E1,-3.229744720E1,-1.627380371E1,4.271726948E1
2.493307333E0,2.296530342E1,-3.247708130E1,-1.624156952E1,4.296457321E1
2.503295333E0,2.278620148E1,-3.234236908E1,-1.612165070E1,4.272174431E1
2.513283333E0,2.289061737E1,-3.265496063E1,-1.616486359E1,4.303056626E1
2.523271333E0,2.296242714E1,-3.258193970E1,-1.609896088E1,4.298874732E1
2.533259333E0,2.299681473E1,-3.267325592E1,-1.600728607E1,4.304216941E1
2.543247333E0,2.258717728E1,-3.254000092E1,-1.601361084E1,4.272549554E1
2.553235333E0,2.266513443E1,-3.264015198E1,-1.589318848E1,4.279814575E1
2.563223333E0,2.246393776E1,-3.253664398E1,-1.592853546E1,4.262604771E1
2.573211333E0,2.247176743E1,-3.264511108E1,-1.589160919E1,4.269926055E1
2.583200333E0,2.237381935E1,-3.270183563E1,-1.616992950E1,4.279561270E1
2.593188333E0,2.257482338E1,-3.297864914E1,-1.580951691E1,4.297853853E1
2.603176333E0,2.257132721E1,-3.309954453E1,-1.571814728E1,4.303608734E1
2.613164333E0,2.260599327E1,-3.322615814E1,-1.580937958E1,4.318500896E1
2.623152333E0,2.269483757E1,-3.322151184E1,-1.555446625E1,4.313543696E1
2.633140333E0,2.270047379E1,-3.317985535E1,-1.543235779E1,4.306241955E1
2.643128333E0,2.268867302E1,-3.305573654E1,-1.514085388E1,4.285677377E1
2.653116333E0,2.277165985E1,-3.315045547E1,-1.508528137E1,4.295424199E1
2.663104333E0,2.256570435E1,-3.321385956E1,-1.505509949E1,4.288388392E1
2.673092333E0,2.263682556E1,-3.320827484E1,-1.509323883E1,4.293042334E1
2.683080333E0,2.250798607E1,-3.317312622E1,-1.500933075E1,4.280590788E1
2.693069333E0,2.261301804E1,-3.320363235E1,-1.505400085E1,4.290049799E1
